nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,baseline,paired_runs,energy_mj_full_mean,energy_mj_baseline_mean,energy_mj_diff_mean,energy_mj_diff_ci95_low,energy_mj_diff_ci95_high,energy_mj_wilcoxon_p,f1_full_mean,f1_baseline_mean,f1_diff_mean,f1_diff_ci95_low,f1_diff_ci95_high,f1_wilcoxon_p,dcr_full_mean,dcr_baseline_mean,dcr_diff_mean,dcr_diff_ci95_low,dcr_diff_ci95_high,dcr_wilcoxon_p,tx_packets_full_mean,tx_packets_baseline_mean,tx_packets_diff_mean,tx_packets_diff_ci95_low,tx_packets_diff_ci95_high,tx_packets_wilcoxon_p,collisions_full_mean,collisions_baseline_mean,collisions_diff_mean,collisions_diff_ci95_low,collisions_diff_ci95_high,collisions_wilcoxon_p
20,100,100,rician,1.0,periodic,10,332.04063,403.88,-71.83936999999999,-77.41802345397552,-66.26071654602445,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,1.0,event_driven,10,332.04063,277.16306,54.877570000000006,48.45239156852619,61.30274843147382,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,1.0,distributed_edge,10,332.04063,370.16306,-38.122429999999994,-44.54760843147381,-31.697251568526177,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,1.25,periodic,10,385.28907,403.88,-18.590929999999993,-24.65107612914078,-12.530783870859207,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,1.25,event_driven,10,385.28907,277.16306,108.12601000000001,101.40804989681406,114.84397010318595,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,1.25,distributed_edge,10,385.28907,393.41306,-8.123989999999992,-14.841950103185935,-1.406029896814049,0.037109375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,1.5,periodic,10,438.53761,403.88,34.657610000000005,28.115862774173824,41.19935722582619,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,1.5,event_driven,10,438.53761,277.16306,161.37455,154.34291891488908,168.40618108511092,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,1.5,distributed_edge,10,438.53761,416.66306,21.874550000000006,14.842918914889104,28.90618108511091,0.00390625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,2.0,periodic,10,545.03463,403.88,141.15463,133.64948203173955,148.65977796826044,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
